"Production Type","2015 [MW]","2016 [MW]","2017 [MW]","2018 [MW]"
"Biomass","671","705","541","520"
"Fossil Brown coal/Lignite","1198","1056","0","0"
"Fossil Coal-derived gas","0","0","0","0"
"Fossil Gas","30429","30295","30723","30683"
"Fossil Hard coal","9411","9411","9535","9535"
"Fossil Oil","650","681","715","715"
"Fossil Oil shale","0","0","0","0"
"Fossil Peat","0","0","0","0"
"Geothermal","0","0","0","0"
"Hydro Pumped Storage","4825","5593","5645","5645"
"Hydro Run-of-river and poundage","1085","1156","1156","1156"
"Hydro Water Reservoir","18187","19076","19113","19125"
"Marine","0","0","0","0"
"Nuclear","7572","7572","7572","7117"
"Other","93","103","107","117"
"Other renewable","141","157","253","262"
"Solar","6535","6500","6720","6722"
"Waste","269","378","536","544"
"Wind Offshore","0","0","0","0"
"Wind Onshore","22740","22772","22813","22834"
"Total Grand capacity","103806","105455","105429","104975"
